timestamp,index,predicted,corrected,corrected_label,top3,crop_path
1776415968,4,?,-,-,-,C:\Users\adika\Desktop\handwritten_equation_solver\corrections\correction_1776415968_4___to_-.png
1776416466,7,x,2,2,x:0.99|×:0.01|÷:0.00,C:\Users\adika\Desktop\handwritten_equation_solver\corrections\correction_1776416466_7_x_to_2.png
1776416524,1,?,x,x,x:0.37|2:0.27|1:0.18,C:\Users\adika\Desktop\handwritten_equation_solver\corrections\correction_1776416524_1___to_x.png
1776416524,2,?,-,-,-:0.49|x:0.25|+:0.18,C:\Users\adika\Desktop\handwritten_equation_solver\corrections\correction_1776416524_2___to_-.png
1776416524,5,?,9,9,9:0.55|3:0.12|5:0.09,C:\Users\adika\Desktop\handwritten_equation_solver\corrections\correction_1776416524_5___to_9.png
1778529382,3,?,-,-,+:0.35|x:0.29|4:0.24,C:\Users\adika\Desktop\handwritten_equation_solver\corrections\correction_1778529382_3___to_-.png
1778529382,6,?,1,1,8:0.49|6:0.27|×:0.13,C:\Users\adika\Desktop\handwritten_equation_solver\corrections\correction_1778529382_6___to_1.png
1778529632,3,?,-,-,+:0.35|x:0.29|4:0.24,C:\Users\adika\Desktop\handwritten_equation_solver\corrections\correction_1778529632_3___to_-.png
1778529632,6,?,1,1,8:0.49|6:0.27|×:0.13,C:\Users\adika\Desktop\handwritten_equation_solver\corrections\correction_1778529632_6___to_1.png
1778529660,2,×,x,x,×:0.96|x:0.04|1:0.00,C:\Users\adika\Desktop\handwritten_equation_solver\corrections\correction_1778529660_2___to_x.png
1778529660,3,?,-,-,+:0.35|x:0.29|4:0.24,C:\Users\adika\Desktop\handwritten_equation_solver\corrections\correction_1778529660_3___to_-.png
1778529660,6,?,1,1,8:0.49|6:0.27|×:0.13,C:\Users\adika\Desktop\handwritten_equation_solver\corrections\correction_1778529660_6___to_1.png
1778529667,2,×,x,x,×:0.96|x:0.04|1:0.00,C:\Users\adika\Desktop\handwritten_equation_solver\corrections\correction_1778529667_2___to_x.png
1778529667,3,?,-,-,+:0.35|x:0.29|4:0.24,C:\Users\adika\Desktop\handwritten_equation_solver\corrections\correction_1778529667_3___to_-.png
1778529667,6,?,1,1,8:0.49|6:0.27|×:0.13,C:\Users\adika\Desktop\handwritten_equation_solver\corrections\correction_1778529667_6___to_1.png
1778529880,3,×,-,-,×:0.95|x:0.04|+:0.01,C:\Users\adika\Desktop\handwritten_equation_solver\corrections\correction_1778529880_3___to_-.png
1778574893,2,×,x,x,×:0.96|x:0.04|1:0.00,C:\Users\adika\Desktop\handwritten_equation_solver\corrections\correction_1778574893_2___to_x.png
1778574893,3,?,-,-,+:0.35|x:0.29|4:0.24,C:\Users\adika\Desktop\handwritten_equation_solver\corrections\correction_1778574893_3___to_-.png
1778574893,6,?,1,1,8:0.49|6:0.27|×:0.13,C:\Users\adika\Desktop\handwritten_equation_solver\corrections\correction_1778574893_6___to_1.png
1778575472,2,×,x,x,×:0.96|x:0.04|1:0.00,C:\Users\adika\Desktop\handwritten_equation_solver\corrections\correction_1778575472_2___to_x.png
1778575472,3,?,-,-,+:0.35|x:0.29|4:0.24,C:\Users\adika\Desktop\handwritten_equation_solver\corrections\correction_1778575472_3___to_-.png
1778575472,6,?,1,1,8:0.49|6:0.27|×:0.13,C:\Users\adika\Desktop\handwritten_equation_solver\corrections\correction_1778575472_6___to_1.png
